graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n9_d50_adj_matrix,greedy,1,1143.0,2.0000147619994095,3,1,256693,0,time_limit
graph_n9_d50_adj_matrix,greedy,2,1143.0,2.00001662700015,3,1,248004,0,time_limit
graph_n9_d50_adj_matrix,local,0,1143.0,2.0010740739999164,2,1,1013,0,time_limit
graph_n9_d50_adj_matrix,local,1,1143.0,2.00148842300041,3,1,952,0,time_limit
graph_n9_d50_adj_matrix,local,2,1143.0,2.001857792998635,2,1,1015,0,time_limit
graph_n17_d12.5_adj_matrix,random,0,2074.9,2.0000255550003203,100,8,233849,0,time_limit
graph_n17_d12.5_adj_matrix,random,1,2074.9,2.000017641999875,84,5,226517,0,time_limit
graph_n17_d12.5_adj_matrix,random,2,1891.62,2.000065670999902,72,3,271457,0,time_limit
graph_n17_d12.5_adj_matrix,greedy,0,1962.68,2.000032474999898,9,1,219254,0,time_limit
graph_n17_d12.5_adj_matrix,greedy,1,1962.68,2.0000203700001293,9,2,219517,0,time_limit
graph_n17_d12.5_adj_matrix,greedy,2,1962.68,2.0000230009991355,9,1,231119,0,time_limit
graph_n17_d12.5_adj_matrix,local,0,1962.68,2.0008089040002233,5,1,780,0,time_limit
graph_n17_d12.5_adj_matrix,local,1,2074.9,2.0014285149991338,5,1,766,0,time_limit
graph_n17_d12.5_adj_matrix,local,2,2074.9,2.0024170970009436,4,1,767,0,time_limit
graph_n10_d25_adj_matrix,random,0,1406.29,2.0000150199994096,23,7,277405,0,time_limit
graph_n10_d25_adj_matrix,random,1,1406.29,2.0000221200007218,65,3,307528,0,time_limit
graph_n10_d25_adj_matrix,random,2,1102.48,2.0000183949996426,32,3,307605,0,time_limit
graph_n10_d25_adj_matrix,greedy,0,1113.88,2.0000178829996003,4,2,285057,0,time_limit
graph_n10_d25_adj_matrix,greedy,1,1406.29,2.0000161129992193,3,1,274996,0,time_limit
graph_n10_d25_adj_matrix,greedy,2,1113.88,2.000019021999833,4,2,289328,0,time_limit
graph_n10_d25_adj_matrix,local,0,1406.29,2.000624104999588,1,1,1043,0,time_limit
graph_n10_d25_adj_matrix,local,1,1406.29,2.0006967859990255,1,1,1036,0,time_limit
graph_n10_d25_adj_matrix,local,2,1406.29,2.000140124999234,1,1,1051,0,time_limit
graph_n14_d75_adj_matrix,random,0,2365.6,0.008757277999393409,400,6,1,0,max_candidates
graph_n14_d75_adj_matrix,random,1,2202.9,0.008272159000625834,400,7,25,0,max_candidates
graph_n14_d75_adj_matrix,random,2,1771.01,2.000068792000093,211,3,119618,0,time_limit
graph_n14_d75_adj_matrix,greedy,0,2503.75,2.0000556369996048,273,4,100703,0,time_limit
graph_n14_d75_adj_matrix,greedy,1,2503.75,2.0000236939995375,120,5,90215,0,time_limit
graph_n14_d75_adj_matrix,greedy,2,2503.75,2.000039384000047,140,1,89295,0,time_limit
graph_n14_d75_adj_matrix,local,0,2503.75,2.0021283160003804,123,2,670,0,time_limit
graph_n14_d75_adj_matrix,local,1,2445.86,2.0002537460004532,92,4,669,0,time_limit
graph_n14_d75_adj_matrix,local,2,2503.75,2.000415612999859,76,1,625,0,time_limit
graph_n19_d50_adj_matrix,random,0,2663.81,2.000057230001403,348,3,99937,0,time_limit
graph_n19_d50_adj_matrix,random,1,2301.23,2.00003715999992,275,5,102617,0,time_limit
graph_n19_d50_adj_matrix,random,2,2636.32,0.010291137999956845,400,8,0,0,max_candidates
graph_n19_d50_adj_matrix,greedy,0,2832.79,2.000068214001658,391,4,83998,0,time_limit
graph_n19_d50_adj_matrix,greedy,1,2832.79,2.0000358510005753,162,6,80918,0,time_limit
graph_n19_d50_adj_matrix,greedy,2,2839.2400000000002,2.0000450429997727,206,4,85131,0,time_limit
graph_n19_d50_adj_matrix,local,0,2844.82,2.0032368400006817,309,3,281,0,time_limit
graph_n19_d50_adj_matrix,local,1,2776.03,2.0013109350002196,198,4,551,0,time_limit
graph_n19_d50_adj_matrix,local,2,2894.08,2.0011613779988693,338,3,266,0,time_limit
graph_n20_d12.5_adj_matrix,random,0,1494.16,2.0000211890001083,67,2,228201,0,time_limit
graph_n20_d12.5_adj_matrix,random,1,1948.65,0.009438654000405222,400,5,402,0,max_candidates
graph_n20_d12.5_adj_matrix,random,2,1508.27,2.0000666289997753,188,3,226304,0,time_limit
