graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n20_d12.5_adj_matrix,local,0,1948.65,2.002031908999925,16,1,794,0,time_limit
graph_n20_d12.5_adj_matrix,local,1,1948.65,2.0017521280005894,27,1,755,0,time_limit
graph_n20_d12.5_adj_matrix,local,2,1948.65,2.0012956479986315,16,1,777,0,time_limit
graph_n16_d50_adj_matrix,random,0,2439.9900000000002,0.00703104300009727,400,2,1,0,max_candidates
graph_n16_d50_adj_matrix,random,1,2836.13,0.007741473000351107,400,4,1,0,max_candidates
graph_n16_d50_adj_matrix,random,2,2728.15,0.007928648999950383,400,7,50,0,max_candidates
graph_n16_d50_adj_matrix,greedy,0,2924.71,0.8434057829999801,400,6,43448,0,max_candidates
graph_n16_d50_adj_matrix,greedy,1,2924.71,2.0000392029996874,282,4,99506,0,time_limit
graph_n16_d50_adj_matrix,greedy,2,2924.71,2.000051222001275,284,5,96482,0,time_limit
graph_n16_d50_adj_matrix,local,0,2924.71,2.0002182190000894,255,4,448,0,time_limit
graph_n16_d50_adj_matrix,local,1,2924.71,2.000330741000653,241,4,444,0,time_limit
graph_n16_d50_adj_matrix,local,2,2924.71,2.002717309998843,226,6,443,0,time_limit
graph_n12_d75_adj_matrix,random,0,1963.6,0.006566315998497885,400,5,22,0,max_candidates
graph_n12_d75_adj_matrix,random,1,1878.58,2.000036788000216,260,5,163779,0,time_limit
graph_n12_d75_adj_matrix,random,2,1882.49,0.006207049000295228,400,2,11,0,max_candidates
graph_n12_d75_adj_matrix,greedy,0,2005.75,2.000023594000595,51,7,121000,0,time_limit
graph_n12_d75_adj_matrix,greedy,1,2005.75,2.0000263229994744,81,6,116516,0,time_limit
graph_n12_d75_adj_matrix,greedy,2,2005.75,2.000033104000977,96,4,116533,0,time_limit
graph_n12_d75_adj_matrix,local,0,2005.75,2.0013072329984425,198,6,662,0,time_limit
graph_n12_d75_adj_matrix,local,1,2005.75,2.0023153359998105,190,3,628,0,time_limit
graph_n12_d75_adj_matrix,local,2,2005.75,2.000733423999918,217,3,637,0,time_limit
graph_n6_d50_adj_matrix,random,0,940.58,2.00001783100015,10,3,396745,0,time_limit
graph_n6_d50_adj_matrix,random,1,940.58,2.000014483999621,10,2,373264,0,time_limit
graph_n6_d50_adj_matrix,random,2,980.03,2.0000157469985425,8,5,413874,0,time_limit
graph_n6_d50_adj_matrix,greedy,0,940.58,2.0000163820004673,1,1,425174,0,time_limit
graph_n6_d50_adj_matrix,greedy,1,940.58,2.0000184119999176,1,1,412236,0,time_limit
graph_n6_d50_adj_matrix,greedy,2,940.58,2.0000197450008272,1,1,368333,0,time_limit
graph_n6_d50_adj_matrix,local,0,980.03,2.000036862000343,1,1,1298,0,time_limit
graph_n6_d50_adj_matrix,local,1,980.03,2.0008519909988536,1,1,1314,0,time_limit
graph_n6_d50_adj_matrix,local,2,980.03,2.000307858999804,1,1,1327,0,time_limit
graph_n11_d75_adj_matrix,random,0,1567.21,2.0000291950000246,164,7,186070,0,time_limit
graph_n11_d75_adj_matrix,random,1,1564.4,2.000036323999666,229,3,188959,0,time_limit
graph_n11_d75_adj_matrix,random,2,1732.1200000000001,0.006326549000732484,400,7,33,0,max_candidates
graph_n11_d75_adj_matrix,greedy,0,1732.1200000000001,2.0000250859993685,85,5,139805,0,time_limit
graph_n11_d75_adj_matrix,greedy,1,1732.1200000000001,2.0000244630009547,115,5,134213,0,time_limit
graph_n11_d75_adj_matrix,greedy,2,1732.1200000000001,2.0000269819993264,152,6,147828,0,time_limit
graph_n11_d75_adj_matrix,local,0,1732.1200000000001,2.000210951000554,54,6,824,0,time_limit
graph_n11_d75_adj_matrix,local,1,1732.1200000000001,2.0011927930008824,43,6,900,0,time_limit
graph_n11_d75_adj_matrix,local,2,1732.1200000000001,2.001625048000278,31,2,986,0,time_limit
